I would like to drastically decrease the amount of time it takes me to clean the house.	J'aimerais diminuer de manière drastique la somme de temps que ça me prend de nettoyer la maison.
Culture plays a dynamic role in shaping an individual's character, attitude, and outlook on life.	La culture joue un rôle actif dans la formation chez un individu du caractère, de l'attitude et du regard sur la vie.
Fewer and fewer people are working to support more and more people living on government benefits.	De moins en moins de gens travaillent à assister de plus en plus de gens vivant des subsides du gouvernement.
Hackers were able to break into the company's computer system and undermine its network security.	Des pirates informatiques ont été en mesure de s'introduire dans le système informatique de l'entreprise et de saper la sécurité de son réseau.
He is usually straightforward and sincere and thereby gains the confidence of those who meet him.	Il est d'ordinaire direct et sincère et gagne ainsi la confiance de ceux qui le rencontrent.
I have a lot to do today, so if you don't mind, I'd like to have this discussion at another time.	J'ai fort à faire aujourd'hui alors, si ça ne vous dérange pas, j'aimerais avoir cette discussion une autre fois.
I have a lot to do today, so if you don't mind, I'd like to have this discussion at another time.	J'ai beaucoup à faire aujourd'hui alors, si ça ne te dérange pas, j'aimerais avoir cette discussion une autre fois.
I have no strong opinion about the matter, so whatever the majority thinks is good is OK with me.	Je n'ai pas d'opinion tranchée sur la question, donc quoi que pense la majorité me convient.
If you calculate the electric field using this equation, the result comes out like the following.	En utilisant cette équation pour calculer le champ électrique, le résultat vient comme ci-après.
If you want to achieve the kind of success that I think you do, then you'll have to study harder.	Si tu veux obtenir le genre de succès que je pense que tu veux, alors tu devras étudier davantage.
When you have eliminated the impossible, whatever remains, however improbable, must be the truth.	Lorsque l'on a éliminé l'impossible, tout ce qui reste, quoiqu'improbable, doit être la vérité.
Apart from a filing tray full of papers on the desk, everything else in the room was on the floor.	En dehors d'une classeur plein de papiers sur le bureau, tout le reste dans la pièce était par terre.
From personal experience, I know that any encounter with him will leave a bad taste in your mouth.	Selon mon expérience personnelle, je sais que la moindre rencontre avec lui vous laisse un mauvais goût dans la bouche.
From personal experience, I know that any encounter with him will leave a bad taste in your mouth.	Selon mon expérience personnelle, je sais que la moindre rencontre avec lui te laisse un mauvais goût dans la bouche.
From personal experience, I know that any encounter with him will leave a bad taste in your mouth.	Selon mon expérience personnelle, je sais que la moindre rencontre avec lui laisse un mauvais goût dans la bouche.
He had gone there to help garbage workers strike peacefully for better pay and working conditions.	Il est allé là-bas pour aider les éboueurs à se mettre en grève pacifiquement pour réclamer un salaire plus élevé et de meilleures conditions de travail.
I heard that one way to stay healthy is to avoid eating any food with unpronounceable ingredients.	J'ai entendu dire qu'une manière de rester en bonne santé est d'éviter de manger de la nourriture contenant des ingrédients imprononçables.
I think it's unlikely that the next version of Windows will come out before the end of this month.	Je crois qu'il est improbable que la prochaine version de Windows sorte avant la fin de ce mois-ci.
I wasn't really doing much of anything, so I decided it'd be a good idea to walk down to the cafe.	Je foutais pas grand-chose, alors j'ai décidé que ce serait une bonne idée de marcher jusqu'au café.
I've kept my weight down even though many of my friends have gained weight as they've grown older.	J'ai contenu mon poids alors même que beaucoup de mes amies en ont gagné tandis qu'elles prenaient de l'âge.
Sooner or later, every parent has to have a talk with their children about the birds and the bees.	Tôt ou tard, tous les parents doivent avoir une conversation avec leurs enfants au sujet des roses et des choux.
Tom told Mary that he thought a hippopotamus could run at a speed of about 30 kilometers per hour.	Tom a dit à Mary qu'il pensait qu'un hippopotame pouvait courir à une vitesse d'environ trente kilomètres par heure.
When your friends begin to flatter you on how young you look, it's a sure sign you're getting old.	Quand vos amis commencent à vous dire que vous ne faites pas votre âge, c'est le signe infaillible que vous vieillissez.
You know that your English is good when people stop complimenting you on how good your English is.	Vous savez que votre anglais est bon lorsque les gens arrêtent de vous en complimenter.
Chinese officials say economic growth has dropped to a three-year low because of the world economy.	Les officiels chinois disent que la croissance économique est tombée à son plus bas niveau depuis trois ans en raison de l'économie mondiale.
Girls begin puberty around the ages of ten to eleven, and boys around the ages of eleven to twelve.	Les filles commencent leur puberté aux environs de dix ou onze ans et les garçons autour de onze ou douze.
I can't believe that you aren't at least willing to consider the possibility of other alternatives.	Je n'arrive pas à croire que vous ne soyez pas au moins disposé à envisager d'autres possibilités.
I can't believe that you aren't at least willing to consider the possibility of other alternatives.	Je n'arrive pas à croire que vous ne soyez pas au moins disposée à envisager d'autres possibilités.
I can't believe that you aren't at least willing to consider the possibility of other alternatives.	Je n'arrive pas à croire que vous ne soyez pas au moins disposés à envisager d'autres possibilités.
I can't believe that you aren't at least willing to consider the possibility of other alternatives.	Je n'arrive pas à croire que vous ne soyez pas au moins disposées à envisager d'autres possibilités.
I can't believe that you aren't at least willing to consider the possibility of other alternatives.	Je n'arrive pas à croire que tu ne sois pas au moins disposé à envisager d'autres possibilités.
I can't believe that you aren't at least willing to consider the possibility of other alternatives.	Je n'arrive pas à croire que tu ne sois pas au moins disposée à envisager d'autres possibilités.
I can't believe that you aren't at least willing to consider the possibility of other alternatives.	Je n'arrive pas à croire que tu ne sois pas tout au moins disposé à envisager d'autres possibilités.
I can't believe that you aren't at least willing to consider the possibility of other alternatives.	Je n'arrive pas à croire que tu ne sois pas tout au moins disposée à envisager d'autres possibilités.
I can't believe that you aren't at least willing to consider the possibility of other alternatives.	Je n'arrive pas à croire que vous ne soyez pas tout au moins disposées à envisager d'autres possibilités.
I can't believe that you aren't at least willing to consider the possibility of other alternatives.	Je n'arrive pas à croire que vous ne soyez pas tout au moins disposés à envisager d'autres possibilités.
I can't believe that you aren't at least willing to consider the possibility of other alternatives.	Je n'arrive pas à croire que vous ne soyez pas tout au moins disposée à envisager d'autres possibilités.
I can't believe that you aren't at least willing to consider the possibility of other alternatives.	Je n'arrive pas à croire que vous ne soyez pas tout au moins disposé à envisager d'autres possibilités.
I told you not to play your cello late at night, but you did and now the neighbors have complained.	Je t'avais dit de ne pas jouer de violoncelle tard la nuit, mais tu l'as fait et maintenant les voisins se sont plaints.
I'm begging you. Don't make me laugh. I did too many sit-ups yesterday and my stomach muscles hurt.	Je t'en supplie. Ne me fais pas rire. J'ai fait trop d'abdominaux hier et mes muscles ventraux me font mal.
If you were a spy trying to pass as a native speaker and said it that way, you'd likely get caught.	Si tu étais un espion essayant de te faire passer pour un natif et que tu le disais de cette manière, il est probable que tu te ferais prendre.
It never occurred to me to take a picture of how the garden looked before we started pulling weeds.	Il ne m'est jamais venu à l'esprit de prendre une photo de ce que le jardin avait l'air, avant que nous ne commencions à arracher les mauvaises herbes.
No matter how busy Tom gets, he never forgets to write an email to his mother at least once a week.	Même si Tom est occupé, il n'oublie jamais d'écrire un courriel à sa mère au moins une fois par semaine.
Since in this organization they're all chiefs and no Indians, it's a wonder any decisions get made.	Vu que dans cette organisation, il n'y a que des chefs et pas d'indiens, c'est un miracle que quelque décision soit effectuée.
Some people clung to tree branches for several hours to avoid being washed away by the floodwaters.	Certaines personnes étaient accrochées à des branches d'arbres durant plusieurs heures, afin d'éviter d'être emportées par les eaux.
The handyman was supposed to arrive at twelve noon, but got stuck in a traffic jam for a few hours.	Le réparateur devait arriver à midi, mais il s'est retrouvé coincé dans des bouchons pendant plusieurs heures.
The press has been hounding the president nonstop about reneging on his promise not to raise taxes.	La presse n'a eu de cesse de pourchasser le Président au sujet de son renoncement à sa promesse de ne pas augmenter les impôts.
Tom did everything within his power to save the children that were trapped in the burning building.	Tom fit tout ce qu'il put pour sauver les enfants pris au piège dans le bâtiment en flammes.
You can accelerate as much as you want, but since the car's in neutral, we won't be going anywhere.	Tu peux toujours accélérer, vu qu'on est au point mort, on va aller nulle part.
You will never get far without the co-operation, confidence and comradeship of other men and women.	Vous n'irez jamais loin sans la coopération, la confiance et la camaraderie des autres hommes et femmes.
A high proportion of crime in any country is perpetrated by young males in their teens and twenties.	Une proportion élevée des crimes, dans quelque pays que ce soit, est perpétrée par de jeunes individus mâles, avant leurs trente ans.
Giving up smoking is the easiest thing in the world. I know because I've done it thousands of times.	S'arrêter de fumer, c'est ce qu'il y a de plus facile. Je le sais bien pour l'avoir fait moi-même des milliers de fois.
He insists on things being done in the most efficient way and he usually does them that way himself.	Il insiste pour que les choses soient réalisées de la manière la plus efficace et les réalise lui-même de cette façon.
I think it's unlikely that aliens similar to what we see in the movies have ever visited our planet.	Je crois qu'il est improbable que des extraterrestres comme ceux que nous voyons dans les films aient jamais visité notre planète.
If you spend too much time in the sun without putting on sunscreen, you are likely to get a sunburn.	Si tu passes trop de temps au soleil sans mettre de crème solaire, il est probable que tu attrapes un coup de soleil.
If you spend too much time in the sun without putting on sunscreen, you are likely to get a sunburn.	Si vous passez trop de temps au soleil sans mettre de crème solaire, il est probable que vous attrapiez un coup de soleil.
If you spend too much time in the sun without putting on sunscreen, you are likely to get a sunburn.	Si on passe trop de temps au soleil sans mettre de crème solaire, il est probable qu'on attrape un coup de soleil.
The bank had the gall to charge a late fee for a payment held up when their online services crashed.	La banque a eu le culot d'imputer des frais de retard pour un paiement retardé lorsque leur service en ligne s'est planté.
There have been a lot of complaints from consumers that our products don't last as long as we claim.	Il y a eu de nombreuses réclamations de consommateurs sur le fait que nos produits ne durent pas aussi longtemps que nous le prétendons.
Unless you started learning English as a child, you're unlikely to ever sound like a native speaker.	À moins d'avoir commencé, enfant, à apprendre l'anglais, il est improbable de jamais passer pour un locuteur natif.
You get tired of a beautiful woman after three days. You get used to an ugly woman after three days.	On se fatigue d'une belle femme après trois jours. On s'habitue à une femme laide au bout de trois jours.
As an Englishman, he is particularly sensitive to the differences between English and American usage.	En tant qu'Anglais, il est particulièrement sensible aux différences entre les usages anglais et étasunien.
Before I get out of bed, I spend a little time thinking about what I'll be doing the rest of the day.	Avant de sortir du lit, je passe un peu de temps à songer à ce que je vais faire le reste de la journée.
From the position of the wounds on the body, the police could tell that the attacker was left-handed.	À partir de la position des blessures sur le corps, la police a pu déclarer que l'attaquant était gaucher.
I know it doesn't look like it, but I've actually gotten rid of a lot of stuff out of the spare room.	Je sais que ça n'y ressemble pas, mais je me suis vraiment débarrassé de nombreuses choses provenant de la pièce annexe.
I looked in my closet for something to wear, but couldn't find anything appropriate for the occasion.	J'ai cherché dans ma garde-robe quelque chose à porter, mais je n'ai rien pu trouver qui convienne à l'occasion.
She advised him to take a long holiday, so he immediately quit work and took a trip around the world.	Elle lui recommanda de prendre de longues vacances, il quitta donc immédiatement le travail et partit en voyage autour du monde.
She advised him to take a long holiday, so he immediately quit work and took a trip around the world.	Elle lui a recommandé de prendre de longues vacances, il a donc quitté immédiatement le travail et est parti en voyage autour du monde.
The natives of the North-West Pacific Coast of America were probably descendants of tribes from Asia.	Les indigènes de la côte américaine nord-ouest du Pacifique étaient probablement les descendants de tribus originaires d'Asie.
"If you're tired, why don't you go to sleep?" "Because if I go to sleep now I will wake up too early."	"Si t'es fatigué, pourquoi ne vas-tu pas dormir ?" "Parce que si j'vais dormir tout de suite, je me réveillerai trop tôt."
Despite the government’s protection, he was the victim of an assassination attempt which killed him.	En dépit de la protection du gouvernement, il fut la victime d'une tentative d'assassinat qui le tua.
Every student of biology, anatomy, anthropology, ethnology or psychology is familiar with these facts.	Tout étudiant en biologie, anatomie, anthropologie, ethnologie ou psychologie est familier de ces faits.
Visible from space, the Great Barrier Reef is the largest structure on Earth made by living organisms.	Visible depuis l'espace, la Grande Barrière de Corail est la plus grande structure sur Terre construite par des organismes vivants.
When you watch television or listen to the radio, the music which you hear is often African in origin.	Lorsque vous regardez la télévision ou écoutez la radio, la musique que vous entendez est souvent d'origine africaine.
You say I should know him quite well, but as a matter of fact, I was introduced to him only last week.	Tu dis que je le connais bien, mais en réalité, on me l'a présenté la semaine dernière.
You should make sure that you get there on time. Tom won't wait more than ten minutes if you are late.	Tu devrais vérifier que tu seras à l'heure. Tom ne t'attendra pas plus de dix minutes.
After the hatchet job my boss did on my proposal, I'm not sure how long I want to keep on working here.	Après le travail d'abattage que le patron a fait sur mes suggestions, je ne suis pas sûr de vouloir travailler encore longtemps ici.
Another interesting source of energy is the heat that can be recovered from radioactive waste material.	Une autre source intéressante d'énergie est la chaleur qui peut être récupérée dans les matériaux à déperdition radioactive.
Disconnect the power cable from the modem, wait for approximately one minute, then reconnect the cable.	Déconnectez l'alimentation du modem, attendez environ une minute, puis connectez de nouveau le câble.
Disconnect the power cable from the modem, wait for approximately one minute, then reconnect the cable.	Déconnecte l'alimentation du modem, attends environ une minute, puis connecte de nouveau le câble.
I never see a library without wishing I had time to go there and stay till I had read everything in it.	Je ne vois jamais une bibliothèque sans souhaiter avoir le temps de m'y rendre et d'y rester jusqu'à ce que j'y aie tout lu.
Next time I switch jobs, I need work that will let me make use of the experience I've gained up to now.	La prochaine fois que je change d'emploi, j'ai besoin d'un travail qui me permettra de mettre à profit l'expérience que j'ai acquise jusqu'à maintenant.
The body and the mind of man are so closely bound together that whatever affects one affects the other.	Le corps et l'esprit de l'homme sont si étroitement liés l'un à l'autre que quoi qu'il arrive à l'un affecte l'autre.
When I visited my hometown this summer, I found the city different from what it had been ten years ago.	En visitant ma ville natale cet été, je l'ai trouvée différente de ce qu'elle était dix ans auparavant.
Between meals, he usually manages to stow away a generous supply of candy, ice cream, popcorn and fruit.	Entre les repas, il s'arrange d'ordinaire pour mettre de côté une abondante réserve de sucreries, de crème glacée, de pop-corn et de fruits.
Poverty does more to bring out the worst in people and conceal the best than anything else in the world.	La pauvreté contribue, plus que toute autre chose au monde, à faire ressortir le pire des gens et à dissimuler le meilleur.
Some people think that it is difficult for a native speaker of English to learn Chinese, but I disagree.	Certains pensent qu'il est difficile pour un anglophone natif d'apprendre le chinois, mais je ne suis pas d'accord.
The world's greatest singers and most of its famous musicians have been fat or at least decidedly plump.	Les plus grands chanteurs du monde et la plupart de ses musiciens renommés, ont été gros ou tout au moins vraiment enrobés.
Tom thinks he knows how much money Mary makes, but Mary makes quite a bit more than Tom thinks she does.	Tom pense savoir combien d'argent Mary gagne, mais Mary se fait bien plus que ce que Tom pense.
When I got out of prison, I couldn't find a job anywhere near my home since no one would hire an ex-con.	Lorsque je suis sorti de prison, je ne pouvais trouver un emploi où que ce soit près de chez moi, car personne ne voulait employer un ex-détenu.
A lot of people would like to become famous. However, a lot of famous people wish they weren't so famous.	Beaucoup de gens voudraient être connus. Cependant, beaucoup de gens célèbres aimeraient ne pas être aussi connus.
During hard times, people might not go on a trip, but they might be willing to pay extra for good coffee.	Quand les temps sont durs, les gens peuvent ne pas partir en voyage mais ils peuvent être disposés à payer davantage pour du café de bonne qualité.
Her sewing basket, dresser drawers and pantry shelves are all systematically arranged in apple-pie order.	Son panier de couture, les tiroirs de son vaisselier et les étagères de son garde-manger sont tous systématiquement ordonnés de manière impeccable.
I'd love to be a fly on the wall at the meeting of the senior executives about the future of the company.	J'aimerais être une petite souris lors de la réunion des dirigeants sur l'avenir de la société.
My friend likes to live in the city, but his wife prefers to live in their little cottage in the country.	Mon ami aime vivre en ville, mais sa femme préfère habiter dans leur petite maison de campagne.
Since there are rice paddies near my house, I often hear frogs croaking all night long this time of year.	Comme il y a des rizières à côté de chez moi, j'entends souvent des grenouilles coasser toute la nuit, à cette époque de l'année.
Some superstitious people in America believe that if a black cat crosses your path, you'll have bad luck.	Certaines personnes superstitieuses en Amérique, croient que si un chat noir croise votre chemin, vous aurez de la malchance.
Thomas A. Edison so loves his work that he sleeps an average of less than four hours of each twenty-four.	Thomas Edison adore tellement son travail qu'il dort en moyenne moins de quatre heures toutes les vingt-quatre heures.
What's important isn't which university you've graduated from, but what you learned while you were there.	L'important, ce n'est pas l'université où tu as obtenu ton diplôme, mais ce que tu as appris lorsque tu y étais.
Last year, I spent so much time by myself that I almost forgot how to communicate effectively with others.	L'année passée, j'ai passé tant de temps tout seul que j'ai presque oublié comment communiquer de manière efficace avec les autres.
Nothing will determine our success as a nation in the 21st century more than how well we educate our kids.	Rien ne déterminera plus notre succès en tant que nation du 21ème siècle que la façon dont nous éduquons nos enfants.
Tom wondered if Mary would think that eight in the morning was too early for him to open a bottle of wine.	Tom se demanda si Mary penserait que huit heures du matin était trop tôt pour qu'il ouvre une bouteille de vin.
We still have more than halfway to go to get to the top of the mountain. Are you really already exhausted?	Nous avons encore plus de la moitié du chemin à parcourir pour atteindre le sommet. Es-tu vraiment déjà fatigué ?
We still have more than halfway to go to get to the top of the mountain. Are you really already exhausted?	Nous avons encore plus de la moitié du chemin à parcourir pour atteindre le sommet. Êtes-vous vraiment déjà fatiguée ?
We still have more than halfway to go to get to the top of the mountain. Are you really already exhausted?	Nous avons encore plus de la moitié du chemin à parcourir pour atteindre le sommet. Êtes-vous vraiment déjà fatiguées ?
We still have more than halfway to go to get to the top of the mountain. Are you really already exhausted?	Nous avons encore plus de la moitié du chemin à parcourir pour atteindre le sommet. Êtes-vous vraiment déjà fatigués ?
When I woke up today, I yawned, stretched, rubbed the sleep out of my eyes, and put on a pair of slippers.	Lorsque je me suis réveillé ce matin, j'ai baillé, me suis étiré, j'ai frotté le sommeil de mes yeux et j'ai enfilé une paire de pantoufles.
Cats are like girls. If they talk to you it's great, but if you try to talk to them, it doesn't go so well.	Les chats sont comme les filles. S'ils vous parlent, c'est super, mais si vous essayez de leur parler, ça ne se passe pas si bien.
Incidentally, this room doesn't have anything like an air conditioner. All it has is a hand-held paper fan.	Du reste, cette pièce n'est pourvue de rien de tel qu'un climatiseur. Tout ce dont elle dispose est un éventail.
Providing energy to the poor without destroying the planet any further is this century's biggest challenge.	Fournir de l'énergie aux pauvres sans continuer à détruire la planète est le plus grand défi de ce siècle.
Give a man a fish and you feed him for a day. Teach a man to fish and you feed him for the rest of his life.	Donne un poisson à un homme, il mangera un jour. Apprends-lui à pêcher, il mangera toute sa vie.
Tom is respected in the business community because he is always fair and square in his dealings with others.	Tom est respecté dans la communauté des affaires parce qu'il est toujours juste et honnête dans ses rapports avec les autres.
Tom told me that Mary was good at playing the piano, but I didn't really believe him until I heard her play.	Tom m'a dit que Mary jouait bien du piano, mais je ne l'ai pas vraiment cru jusqu'à ce que je l'entende jouer.
We can't leave our tents on the beach where they are now. If we do, they'll be under water during high tide.	Nous ne pouvons laisser nos tentes sur la plage où elles sont actuellement. Si nous le faisons, elles se trouveront sous l'eau à la marée haute.
I know it's kind of late, but would you mind if I came over now? I have something I need to discuss with you.	Je sais qu'il est assez tard mais cela te dérangerait-il que je vienne chez toi maintenant ? J'ai quelque chose qu'il me faut discuter avec toi.
I know it's kind of late, but would you mind if I came over now? I have something I need to discuss with you.	Je sais qu'il est assez tard mais cela vous dérangerait-il que je vienne chez vous maintenant ? J'ai quelque chose qu'il me faut discuter avec vous.
If you are a parent, don't allow yourself to set your heart on any particular line of work for your children.	Si vous êtes parent, ne vous laissez pas aller à pencher en direction d'une voie professionnelle particulière pour vos enfants.
The best thing about working in a team is that, when something goes wrong, you can always blame someone else.	Le meilleur aspect du travail en équipe est que si quelque chose va de travers, on peut toujours le mettre sur le dos de quelqu'un d'autre.
A person will have the face of an angel when borrowing something, but the face of the devil when returning it.	Une personne aura le visage d'un ange lorsqu'elle emprunte quelque chose, mais le visage du Diable en le rendant.
I can't believe that you aren't at least willing to consider the possibility that there's another explanation.	Je n'arrive pas à croire que tu ne sois pas disposé à au moins envisager la possibilité qu'il y ait une autre explication.
I can't believe that you aren't at least willing to consider the possibility that there's another explanation.	Je n'arrive pas à croire que vous ne soyez pas disposé à au moins envisager la possibilité qu'il y ait une autre explication.
I can't believe that you aren't at least willing to consider the possibility that there's another explanation.	Je n'arrive pas à croire que tu ne sois pas disposée à au moins envisager la possibilité qu'il y ait une autre explication.
I can't believe that you aren't at least willing to consider the possibility that there's another explanation.	Je n'arrive pas à croire que vous ne soyez pas disposée à au moins envisager la possibilité qu'il y ait une autre explication.
I can't believe that you aren't at least willing to consider the possibility that there's another explanation.	Je n'arrive pas à croire que vous ne soyez pas disposés à au moins envisager la possibilité qu'il y ait une autre explication.
I can't believe that you aren't at least willing to consider the possibility that there's another explanation.	Je n'arrive pas à croire que vous ne soyez pas disposées à au moins envisager la possibilité qu'il y ait une autre explication.
I honestly think it's better to be a failure at something you love than to be a success at something you hate.	Je pense sincèrement qu'il est préférable d'échouer à quelque chose que l'on adore plutôt que d'avoir du succès à quelque chose que l'on déteste.
President Barack Obama praised Poland as an example for aspiring democracies in the Middle East and elsewhere.	Le Président Barack Obama a loué la Pologne comme exemple pour les démocraties en devenir au Moyen-Orient et ailleurs.
We're going to make sure that no one is taking advantage of the American people for their own short-term gain.	Nous allons nous assurer que personne ne tire avantage du peuple étasunien pour son propre profit à court terme.
From the moment he arrived there, he kept on bothering his doctor to tell him when he would be able to go home.	Dès le moment où il est arrivé, il n'arrêtait pas de demander quand est-ce qu'il pourrait partir chez lui.
I realize I may not be the most desirable man in the world, but I still hope you'll consider going out with me.	Je me rends compte que je ne suis peut-être pas l'homme le plus séduisant du monde mais j'espère quand même que vous envisagerez de sortir avec moi.
I realize I may not be the most desirable man in the world, but I still hope you'll consider going out with me.	Je me rends compte que je ne suis peut-être pas l'homme le plus séduisant du monde mais j'espère quand même que tu envisageras de sortir avec moi.
People often lie about what they did on the weekend, so their friends won't realize how boring they really are.	Les gens mentent souvent à propos de ce qu'ils font de leur week-end pour que leurs amis ne réalisent pas combien leur vie est ennuyeuse.
The police suspected there was a connection between the abandoned car and the dead body found three miles away.	Les policiers soupçonnaient qu'il existait un lien entre la voiture abandonnée et le cadavre trouvé trois kilomètres plus loin.
The questions came fast and furious from the large number of reporters who had gathered outside the courthouse.	Les questions fusèrent de la part du grand nombre de journalistes qui s'étaient assemblés à l'extérieur du tribunal.
A few people mentioned they would like to attend some sessions later in the day on the Technical Session Agenda.	Certaines personnes ont mentionné qu'elles aimeraient assister à certaines sessions plus tard dans la journée sur l'Ordre du jour des Sessions Techniques.
Consider the successes that have been achieved by tired, discouraged people who decided to give it one more try.	Regarde les succès qu'ont eu des gens fatigués et découragés qui ont pris la décision d'essayer une dernière fois.
Consider the successes that have been achieved by tired, discouraged people who decided to give it one more try.	Regardez les succès qu'ont eu des gens fatigués et découragés qui ont pris la décision d'essayer une dernière fois.
I know that it is highly unlikely that you'd ever want to go out with me, but I still need to ask at least once.	Je sais qu'il est hautement improbable que tu veuilles jamais sortir avec moi, mais j'ai tout de même besoin de demander au moins une fois.
The man who makes but one mistake a year because he makes but two decisions is wrong fifty per cent of the time.	L'homme qui commet une erreur par an parce qu'il ne prend que deux décisions, se trompe cinquante pour cent du temps.
I know you're upset about your car being totaled, but you weren't injured and you should be thankful to be alive.	Je sais que tu es contrarié que ta voiture soit bonne pour la casse, mais tu n'as pas été blessé et tu devrais être heureux d'être en vie.
I sometimes wish I could live a quiet retired sort of life but I doubt I could stand it for more than a few days.	Parfois je souhaiterais vivre une sorte de vie calme et retraitée mais je doute que je puisse la supporter plus de quelques jours.
Did you know that in Japan, if you have a tattoo, you won't be allowed to bathe in many of the hot spring resorts?	Saviez-vous qu'au Japon, si vous portez un tatouage, vous ne serez pas autorisé à vous baigner dans beaucoup des stations thermales ?
He is inclined to look at everything from the standpoint of its practicality and is neither stingy nor extravagant.	Il a tendance à considérer toute chose sous un angle pratique et n'est ni avare ni prodigue.
Someone told me that Albert Einstein said, "Common sense is the collection of prejudices acquired by age eighteen."	Quelqu'un m'a dit qu'Albert Einstein déclara : "Le bon sens est la collection des préjugés acquis à l'âge de dix-huit ans."
Every time I make a mistake, I learn something. The challenge is not to keep making the same mistakes over and over.	Chaque fois que je commets une erreur, j'apprends quelque chose. Le défi est de ne pas continuer à toujours commettre les mêmes erreurs.
Getting your message across is much more important than trying to say it exactly like a native speaker would say it.	Véhiculer votre message est bien plus important que d'essayer de le dire exactement comme un locuteur natif le dirait.
I felt bad, so I was admitted into the hospital. However, it turned out that there was nothing really wrong with me.	Je me sentais mal, aussi je fus admis à l'hôpital. Cependant, il s'avéra qu'il n'y avait rien qui n'allait réellement pas chez moi.
Not long ago we heard a father say in the presence of his large family, "I don't want any of my boys to be lawyers."	Il n'y a pas si longtemps, nous entendîmes un père, dire en présence de sa famille étendue : « Je veux qu'aucun de mes garçons ne soit avocat. »
Notice the hands of the people you meet and you will be surprised to see how different and how interesting they are.	Remarquez les mains des gens que vous rencontrez et vous serez surpris de constater combien elles diffèrent et comme elles sont intéressantes.
The police drew an outline of a body at the scene of the crime to indicate how the body was lying when it was found.	La police traça le contour d'un corps, sur le lieu du crime, pour indiquer comment le cadavre était étendu, lorsqu'il avait été trouvé.
This is a time of year when people get together with family and friends to observe Passover and to celebrate Easter.	C'est le moment de l'année auquel les gens se réunissent avec leur famille et leurs amis pour célébrer Pessa'h et fêter la Pâques.
A man touched down on the moon. A wall came down in Berlin. A world was connected by our own science and imagination.	Un homme a atterri sur la lune. Un mur a été abattu à Berlin. Un monde a été connecté par notre propre science et notre imagination.
Charles Moore created Forth in an attempt to increase programmer productivity without sacrificing machine efficiency.	Charles Moore a créé le Forth dans une tentative pour accroître la productivité du programmeur sans sacrifier l'efficacité de la machine.
Every student who has graduated from our university has studied English with a native speaker for at least two years.	Tous les étudiants qui ont été diplômés de notre université ont étudié l'anglais avec un locuteur natif pendant au moins deux ans.
If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.	Si tu ne veux pas mettre de crème solaire c'est ton problème, mais ne viens pas te plaindre quand t'auras des coups de soleil.
Nobody has asked you to agree, but can't you at least accept that there are people who hold different views from you?	Personne ne t'a demandé d'être d'accord, mais ne peux-tu pas, au moins, accepter qu'il y a des gens qui ont un point de vue différent du tien ?
Nobody has asked you to agree, but can't you at least accept that there are people who hold different views from you?	Personne ne vous a demandé d'être d'accord, mais ne pouvez-vous pas, au moins, accepter qu'il y a des gens qui ont un point de vue différent du vôtre ?
The people crowded round the injured man, but they made way for the doctor when he reached the scene of the accident.	Les gens s'attroupèrent autour du blessé, mais firent place au médecin quand il atteignit le lieu de l'accident.
A chance to do as we please, especially to do as little hard work as possible, is a secret desire of almost everybody.	Une occasion de faire ce qui nous plait, en particulier de faire aussi peu de travail pénible que possible, est le désir secret de presque tout le monde.
Even though computer programmers may use semicolons every day, nowadays most people only use semicolons for emoticons.	Bien que les programmeurs utilisent quotidiennement les points-virgules, la plupart des gens les utilisent de nos jours seulement pour les émoticônes.
I had never eaten any kind of Thai food, so I was pretty excited about going to a Thai restaurant with my grandmother.	Je n'avais jamais mangé aucune sorte de nourriture thaï alors j'étais assez excité d'aller dans un restaurant thaï avec ma grand-mère.
Since I've been on this diet, my weight is down, my cholesterol is down and my sleep apnea has completely disappeared.	Depuis que je suis ce régime, j'ai perdu du poids, mon cholestérol a baissé et mon apnée du sommeil a complètement disparu.
"When does your sister come back from work?" "I don't know, but I think she'll arrive at home a few minutes before me."	"-Quand ta sœur rentre-t-elle du travail ?" "-Je ne sais pas, mais je pense qu'elle arrivera à la maison quelques minutes avant moi."
Never choose a vocation just because your friends are in it, nor refuse another just because your worst enemy is in it.	Ne choisissez jamais une vocation juste parce que vos amis s'y trouvent, pas plus que n'en refusez une autre juste parce que s'y trouve votre pire ennemi.
When we hear of a divorce we assume that it was caused by the inability of those two people to agree upon fundamentals.	Lorsque nous entendons parler d'un divorce, nous supposons qu'il a été causé par l'incapacité de ces deux personnes à s'entendre sur les fondamentaux.
Even now, I occasionally think I'd like to see you. Not the you that you are today, but the you I remember from the past.	Même maintenant, je pense parfois que j'aimerais te voir. Pas la personne que tu es aujourd'hui, mais celle dont je me rappelle.
Police are urging people not to pick up hitchhikers as they search for two prisoners on the run after escaping from jail.	La police exhorte les gens à ne pas prendre d'autostoppeurs car ils recherchent deux prisonniers en cavale après leur évasion.
We should spend our time creating content for our website rather than wasting time worrying about minor cosmetic details.	Nous devrions consacrer notre temps à créer du contenu pour notre site web plutôt que de gâcher du temps à nous préoccuper de détails esthétiques mineurs.
